state,collection_date,Inpatient Beds Occupied Estimated,Count LL,Count UL,Percentage of Inpatient Beds Occupied Estimated,Percentage LL,Percentage UL,Total Inpatient Beds,Total LL,Total UL
AR,2020-09-11,"5,369","5,355","5,383",68.91,68.05,69.78,"7,759","7,724","7,794"
CT,2020-09-11,"6,074","6,061","6,087",75.19,74.74,75.65,"8,078","8,065","8,091"
ID,2020-09-11,"1,763","1,763","1,763",48.90,48.90,48.90,"3,605","3,605","3,605"
IN,2020-09-11,"10,198","10,042","10,353",63.13,60.09,66.16,"16,154","15,968","16,340"
KS,2020-09-11,"4,299","4,252","4,345",57.97,54.97,60.97,"7,169","7,036","7,302"
LA,2020-09-11,"9,146","9,048","9,243",66.40,64.07,68.73,"13,352","13,227","13,478"
MD,2020-09-11,"8,140","8,140","8,140",80.06,80.06,80.06,"10,168","10,168","10,168"
MI,2020-09-11,"17,125","17,027","17,223",74.73,73.24,76.22,"22,916","22,769","23,063"
AL,2020-09-12,"9,590","9,571","9,609",68.23,67.69,68.77,"14,055","14,018","14,092"
AR,2020-09-12,"5,179","4,988","5,370",66.72,60.16,73.27,"7,729","7,610","7,849"
CT,2020-09-12,"5,910","5,784","6,035",73.16,68.56,77.75,"8,078","7,944","8,211"
ID,2020-09-12,"1,740","1,726","1,755",48.43,46.21,50.65,"3,594","3,545","3,643"
IN,2020-09-12,"9,800","9,739","9,861",60.87,59.58,62.15,"16,101","16,015","16,187"
KS,2020-09-12,"4,049","3,966","4,132",54.81,50.74,58.87,"7,156","7,008","7,305"
LA,2020-09-12,"8,747","8,654","8,841",63.78,61.54,66.03,"13,292","13,172","13,411"
