state,collection_date,Inpatient Beds Occupied Estimated,Count LL,Count UL,Percentage of Inpatient Beds Occupied Estimated,Percentage LL,Percentage UL,Total Inpatient Beds,Total LL,Total UL
NJ,2020-09-07,"13,349","13,025","13,674",70.33,64.34,76.31,"18,982","18,486","19,477"
NV,2020-09-07,"4,876","4,869","4,883",65.33,65.33,65.33,"7,464","7,464","7,464"
HI,2020-09-08,"1,502","1,476","1,528",70.41,70.41,70.41,"1,754","1,754","1,754"
ME,2020-09-08,"1,717","1,712","1,722",60.61,59.65,61.57,"2,823","2,807","2,839"
MS,2020-09-08,"4,642","4,627","4,657",62.09,61.37,62.80,"7,456","7,432","7,479"
MT,2020-09-08,"1,690","1,605","1,775",68.22,57.01,79.43,"2,623","2,287","2,959"
NJ,2020-09-08,"14,024","13,693","14,355",73.04,67.01,79.06,"19,201","18,698","19,703"
NV,2020-09-08,"4,833","4,833","4,833",64.92,64.92,64.92,"7,445","7,445","7,445"
HI,2020-09-09,"1,541","1,515","1,567",72.84,72.84,72.84,"1,756","1,745","1,767"
ME,2020-09-09,"1,876","1,876","1,876",65.78,65.78,65.78,"2,843","2,843","2,843"
MS,2020-09-09,"4,925","4,887","4,963",65.99,64.40,67.58,"7,444","7,400","7,488"
MT,2020-09-09,"1,784","1,710","1,858",70.45,61.29,79.61,"2,658","2,348","2,968"
NJ,2020-09-09,"14,633","14,274","14,992",75.59,69.14,82.04,"19,359","18,820","19,898"
NV,2020-09-09,"4,978","4,972","4,983",66.83,66.83,66.83,"7,448","7,448","7,448"
HI,2020-09-10,"1,593","1,563","1,623",74.64,72.22,77.06,"1,775","1,759","1,791"
ME,2020-09-10,"1,916","1,800","2,032",67.62,53.32,81.93,"2,823","2,647","2,999"
MS,2020-09-10,"5,072","5,050","5,094",67.23,66.28,68.18,"7,527","7,498","7,556"
MT,2020-09-10,"1,873","1,835","1,910",72.98,70.45,75.50,"2,704","2,469","2,938"
NJ,2020-09-10,"14,953","14,592","15,314",76.91,70.52,83.30,"19,443","18,913","19,973"
NV,2020-09-10,"4,960","4,960","4,960",66.60,66.60,66.60,"7,448","7,448","7,448"
HI,2020-09-11,"1,530","1,501","1,560",72.52,54.77,90.28,"1,752","1,570","1,933"
ME,2020-09-11,"1,917","1,897","1,937",67.46,65.13,69.78,"2,830","2,803","2,857"
MS,2020-09-11,"5,002","4,971","5,033",67.35,65.96,68.74,"7,412","7,369","7,455"
MT,2020-09-11,"1,845","1,776","1,915",71.67,63.45,79.89,"2,719","2,410","3,028"
NJ,2020-09-11,"14,838","14,475","15,202",76.80,70.56,83.04,"19,321","18,822","19,820"
NV,2020-09-11,"4,958","4,948","4,968",66.61,65.90,67.33,"7,443","7,414","7,472"
HI,2020-09-12,"1,525","1,495","1,555",71.42,64.84,78.00,"1,748","1,683","1,813"
ME,2020-09-12,"1,898","1,782","2,014",66.90,52.60,81.20,"2,826","2,650","3,002"
MS,2020-09-12,"4,768","4,717","4,820",64.64,62.09,67.20,"7,356","7,271","7,442"
MT,2020-09-12,"1,773","1,607","1,940",70.45,49.34,91.56,"2,674","2,310","3,039"
NJ,2020-09-12,"13,429","13,051","13,807",71.60,68.67,74.53,"18,755","18,268","19,242"
NV,2020-09-12,"4,933","4,836","5,030",66.46,60.71,72.20,"7,423","7,206","7,640"
HI,2020-09-13,"1,527","1,500","1,554",72.31,72.31,72.31,"1,747","1,681","1,812"
ME,2020-09-13,"1,812","1,684","1,940",64.11,47.97,80.25,"2,816","2,615","3,017"
MS,2020-09-13,"4,612","4,495","4,729",62.68,57.46,67.89,"7,340","7,187","7,493"
MT,2020-09-13,"1,744","1,597","1,891",69.67,50.68,88.67,"2,667","2,297","3,038"
NJ,2020-09-13,"13,116","12,730","13,501",69.78,69.17,70.40,"18,795","18,407","19,183"
NV,2020-09-13,"4,882","4,830","4,934",65.76,63.27,68.24,"7,424","7,342","7,506"
HI,2020-09-14,"1,575","1,548","1,602",74.22,74.22,74.22,"1,752","1,741","1,762"
ME,2020-09-14,"1,825","1,756","1,894",65.29,55.27,75.31,"2,786","2,649","2,923"
MS,2020-09-14,"4,646","4,628","4,664",62.91,61.90,63.92,"7,365","7,328","7,402"
MT,2020-09-14,"1,762","1,675","1,850",69.90,58.98,80.82,"2,691","2,324","3,058"
NJ,2020-09-14,"13,597","13,147","14,047",72.31,68.26,76.35,"18,804","18,272","19,336"
NV,2020-09-14,"4,944","4,936","4,951",66.55,65.93,67.17,"7,428","7,402","7,454"
HI,2020-09-15,"1,597","1,568","1,626",73.61,73.61,73.61,"1,781","1,696","1,866"
ME,2020-09-15,"1,941","1,941","1,941",68.63,68.63,68.63,"2,821","2,821","2,821"
MS,2020-09-15,"4,751","4,594","4,908",63.92,56.67,71.17,"7,414","7,185","7,643"
MT,2020-09-15,"1,838","1,747","1,929",71.37,60.17,82.56,"2,748","2,369","3,127"
NJ,2020-09-15,"14,337","13,934","14,740",75.22,74.67,75.78,"19,059","18,654","19,464"
NV,2020-09-15,"5,166","5,158","5,175",69.32,68.65,69.99,"7,453","7,426","7,480"
HI,2020-09-16,"1,600","1,568","1,632",74.04,71.63,76.46,"1,780","1,764","1,796"
ME,2020-09-16,"1,953","1,951","1,956",69.13,68.77,69.50,"2,815","2,811","2,820"
MS,2020-09-16,"4,853","4,828","4,878",64.88,63.66,66.11,"7,461","7,419","7,503"
MT,2020-09-16,"1,854","1,762","1,946",71.04,59.83,82.26,"2,760","2,379","3,141"
NJ,2020-09-16,"14,313","13,911","14,716",75.48,75.01,75.95,"18,964","18,560","19,368"
NV,2020-09-16,"5,151","5,149","5,153",69.16,68.58,69.74,"7,448","7,422","7,474"
HI,2020-09-17,"1,598","1,566","1,630",73.79,71.27,76.31,"1,759","1,741","1,777"
ME,2020-09-17,"1,921","1,828","2,015",67.97,57.58,78.36,"2,815","2,703","2,927"
MS,2020-09-17,"4,908","4,891","4,926",65.68,64.91,66.44,"7,452","7,430","7,475"
MT,2020-09-17,"1,834","1,732","1,936",71.19,57.77,84.62,"2,751","2,358","3,144"
NJ,2020-09-17,"14,393","13,990","14,796",75.86,75.05,76.68,"18,972","18,563","19,381"
NV,2020-09-17,"5,215","5,208","5,222",69.90,69.25,70.55,"7,461","7,434","7,488"
HI,2020-09-18,"1,578","1,426","1,730",73.55,48.44,98.65,"1,744","1,563","1,926"
ME,2020-09-18,"1,914","1,905","1,923",68.03,66.46,69.61,"2,802","2,779","2,824"
MS,2020-09-18,"4,842","4,834","4,850",65.16,64.43,65.89,"7,405","7,374","7,436"
MT,2020-09-18,"1,674","1,566","1,782",68.96,59.88,78.04,"2,210","1,807","2,613"
NJ,2020-09-18,"13,763","13,361","14,165",72.47,72.00,72.94,"18,991","18,587","19,395"
NV,2020-09-18,"5,163","5,151","5,175",69.33,68.86,69.80,"7,447","7,419","7,475"
HI,2020-09-19,"1,579","1,482","1,676",73.12,69.76,76.48,"1,756","1,733","1,779"
ME,2020-09-19,"1,843","1,621","2,065",65.87,40.61,91.12,"2,786","2,514","3,058"
MS,2020-09-19,"4,642","4,594","4,689",63.19,60.67,65.72,"7,318","7,230","7,406"
MT,2020-09-19,"1,626","1,459","1,793",67.33,46.69,87.96,"2,173","1,734","2,612"
NJ,2020-09-19,"12,840","12,208","13,472",67.95,59.90,76.01,"18,895","18,190","19,600"
NV,2020-09-19,"5,012","4,498","5,527",68.52,44.52,92.52,"7,315","6,565","8,065"
HI,2020-09-20,"1,595","1,469","1,721",73.91,61.15,86.66,"1,759","1,672","1,846"
ME,2020-09-20,"1,799","1,537","2,061",63.74,33.65,93.83,"2,810","2,476","3,144"
MS,2020-09-20,"4,529","4,321","4,737",65.56,57.68,73.44,"6,882","6,771","6,993"
MT,2020-09-20,"1,620","1,387","1,853",66.99,36.92,97.06,"2,169","1,691","2,647"
NJ,2020-09-20,"12,795","11,728","13,862",67.27,50.18,84.37,"19,019","17,630","20,408"
NV,2020-09-20,"4,972","4,367","5,577",67.98,39.71,96.25,"7,314","6,430","8,198"
ND,2020-08-20,"1,418","1,412","1,424",65.17,63.78,66.57,"2,165","2,145","2,185"
NY,2020-08-20,"34,574","33,579","35,569",70.87,69.96,71.78,"42,545","41,086","44,004"
PR,2020-08-20,"4,621","4,621","4,621",53.05,53.05,53.05,"8,710","8,710","8,710"
RI,2020-08-20,"1,744","1,744","1,744",98.70,98.70,98.70,"1,767","1,767","1,767"
ND,2020-08-21,"1,370","1,359","1,381",62.99,61.11,64.86,"2,164","2,142","2,186"
NY,2020-08-21,"34,699","33,695","35,704",71.38,69.90,72.86,"42,550","41,083","44,017"
PR,2020-08-21,"4,689","4,689","4,689",53.36,53.36,53.36,"8,787","8,787","8,787"
RI,2020-08-21,"1,694","1,694","1,694",97.52,97.52,97.52,"1,737","1,737","1,737"
ND,2020-08-22,"1,296","1,274","1,318",59.61,56.00,63.22,"2,164","2,127","2,201"
NY,2020-08-22,"33,017","31,933","34,101",67.78,63.91,71.66,"43,016","41,461","44,571"
PR,2020-08-22,"4,552","4,531","4,573",52.45,51.09,53.81,"8,679","8,608","8,750"
RI,2020-08-22,"1,636","1,636","1,636",95.67,95.67,95.67,"1,710","1,710","1,710"
ND,2020-08-23,"1,247","1,225","1,268",57.35,53.83,60.86,"2,164","2,128","2,200"
NY,2020-08-23,"32,295","30,935","33,655",66.89,59.85,73.94,"42,776","40,973","44,578"
PR,2020-08-23,"4,186","4,160","4,212",48.49,47.63,49.34,"8,633","8,633","8,633"
RI,2020-08-23,"1,580","1,580","1,580",92.40,92.40,92.40,"1,710","1,710","1,710"
ND,2020-08-24,"1,250","1,245","1,255",57.43,56.24,58.61,"2,168","2,150","2,186"
NY,2020-08-24,"32,829","31,871","33,788",68.24,65.93,70.55,"42,827","41,421","44,234"
PR,2020-08-24,"4,107","4,107","4,107",47.33,47.33,47.33,"8,677","8,677","8,677"
RI,2020-08-24,"1,679","1,679","1,679",96.38,96.38,96.38,"1,742","1,742","1,742"
ND,2020-08-25,"1,351","1,346","1,357",61.85,60.46,63.23,"2,185","2,168","2,202"
NY,2020-08-25,"34,663","33,737","35,589",70.60,68.21,72.99,"43,510","42,161","44,858"
PR,2020-08-25,"4,214","4,214","4,214",49.18,49.18,49.18,"8,568","8,568","8,568"
RI,2020-08-25,"1,771","1,771","1,771",98.66,98.66,98.66,"1,795","1,795","1,795"
ND,2020-08-26,"1,440","1,423","1,457",65.92,63.28,68.55,"2,184","2,159","2,209"
NY,2020-08-26,"36,385","35,492","37,278",72.02,65.31,78.73,"44,939","43,621","46,257"
PR,2020-08-26,"4,427","4,413","4,440",51.30,51.30,51.30,"8,629","8,629","8,629"
RI,2020-08-26,"1,798","1,798","1,798",100.62,100.62,100.62,"1,787","1,787","1,787"
ND,2020-08-27,"1,413","1,410","1,416",64.64,63.55,65.73,"2,186","2,172","2,200"
NY,2020-08-27,"36,466","35,584","37,348",72.09,65.53,78.65,"44,837","43,564","46,110"
PR,2020-08-27,"4,588","4,573","4,604",53.48,53.48,53.48,"8,579","8,579","8,579"
RI,2020-08-27,"1,777","1,777","1,777",100.00,100.00,100.00,"1,777","1,777","1,777"
ND,2020-08-28,"1,410","1,406","1,414",64.49,63.06,65.92,"2,186","2,167","2,205"
NY,2020-08-28,"36,140","35,276","37,005",70.99,64.58,77.41,"45,167","43,917","46,417"
PR,2020-08-28,"4,646","4,629","4,663",52.61,52.61,52.61,"8,831","8,831","8,831"
RI,2020-08-28,"1,758","1,758","1,758",99.10,99.10,99.10,"1,774","1,774","1,774"
ND,2020-08-29,"1,352","1,337","1,368",62.78,60.37,65.19,"2,154","2,132","2,177"
NY,2020-08-29,"34,731","33,891","35,570",68.67,62.55,74.78,"44,954","43,798","46,111"
PR,2020-08-29,"4,600","4,573","4,626",52.51,51.07,53.95,"8,760","8,689","8,831"
RI,2020-08-29,"1,688","1,688","1,688",94.04,94.04,94.04,"1,795","1,795","1,795"
ND,2020-08-30,"1,302","1,276","1,329",60.39,56.41,64.37,"2,157","2,123","2,190"
NY,2020-08-30,"34,362","33,529","35,195",67.53,61.43,73.63,"44,989","43,828","46,149"
PR,2020-08-30,"4,488","4,475","4,502",51.28,49.56,53.00,"8,753","8,651","8,855"
RI,2020-08-30,"1,622","1,622","1,622",93.33,93.33,93.33,"1,738","1,738","1,738"
ND,2020-08-31,"1,285","1,269","1,302",59.70,57.24,62.16,"2,153","2,132","2,174"
NY,2020-08-31,"34,834","33,983","35,685",68.54,62.29,74.79,"45,219","44,052","46,386"
PR,2020-08-31,"4,416","4,416","4,416",51.85,51.85,51.85,"8,517","8,517","8,517"
RI,2020-08-31,"1,619","1,619","1,619",95.63,95.63,95.63,"1,693","1,693","1,693"
ND,2020-09-01,"1,344","1,343","1,345",64.12,63.42,64.82,"2,096","2,087","2,105"
NY,2020-09-01,"36,160","35,527","36,793",70.76,66.14,75.37,"45,478","44,611","46,346"
PR,2020-09-01,"4,284","4,284","4,284",50.26,50.26,50.26,"8,523","8,523","8,523"
RI,2020-09-01,"1,715","1,715","1,715",97.83,97.83,97.83,"1,753","1,753","1,753"
ND,2020-09-02,"1,367","1,367","1,367",66.23,65.46,67.00,"2,064","2,054","2,074"
NY,2020-09-02,"36,457","36,124","36,790",70.89,68.51,73.26,"45,580","45,144","46,015"
PR,2020-09-02,"4,451","4,451","4,451",51.27,51.27,51.27,"8,682","8,682","8,682"
RI,2020-09-02,"1,729","1,729","1,729",99.48,99.48,99.48,"1,738","1,738","1,738"
ND,2020-09-03,"1,334","1,334","1,334",63.55,63.55,63.55,"2,099","2,092","2,106"
NY,2020-09-03,"36,342","36,149","36,535",70.59,69.16,72.02,"45,536","45,263","45,809"
PR,2020-09-03,"4,568","4,555","4,582",52.24,51.75,52.72,"8,746","8,731","8,760"
RI,2020-09-03,"1,586","1,517","1,654",91.38,91.38,91.38,"1,735","1,735","1,735"
ND,2020-09-04,"1,319","1,304","1,334",63.18,60.84,65.53,"2,088","2,069","2,107"
NY,2020-09-04,"36,002","35,768","36,236",69.65,67.96,71.34,"45,537","45,224","45,850"
PR,2020-09-04,"4,595","4,595","4,595",52.32,52.32,52.32,"8,782","8,782","8,782"
RI,2020-09-04,"1,738","1,738","1,738",97.53,97.53,97.53,"1,782","1,782","1,782"
ND,2020-09-05,"1,272","1,245","1,300",60.85,56.60,65.09,"2,091","2,057","2,125"
NY,2020-09-05,"34,429","34,141","34,716",67.12,65.04,69.21,"45,299","44,915","45,682"
PR,2020-09-05,"4,650","4,650","4,650",52.50,52.50,52.50,"8,857","8,857","8,857"
RI,2020-09-05,"1,681","1,681","1,681",96.11,96.11,96.11,"1,749","1,749","1,749"
ND,2020-09-06,"1,234","1,211","1,258",59.03,55.16,62.91,"2,091","2,057","2,125"
NY,2020-09-06,"33,417","33,136","33,699",65.35,63.20,67.50,"45,304","44,887","45,721"
PR,2020-09-06,"4,413","4,413","4,413",49.86,49.86,49.86,"8,850","8,850","8,850"
RI,2020-09-06,"1,600","1,600","1,600",93.24,93.24,93.24,"1,716","1,716","1,716"
ND,2020-09-07,"1,340","1,316","1,364",59.19,55.71,62.66,"2,264","2,233","2,295"
NY,2020-09-07,"33,548","33,278","33,817",65.20,63.29,67.11,"45,667","45,321","46,013"
PR,2020-09-07,"4,272","4,272","4,272",49.09,49.09,49.09,"8,703","8,703","8,703"
RI,2020-09-07,"1,578","1,578","1,578",92.17,92.17,92.17,"1,712","1,712","1,712"
ND,2020-09-08,"1,302","1,296","1,307",62.27,61.03,63.52,"2,090","2,076","2,104"
NY,2020-09-08,"34,800","34,724","34,876",67.32,66.74,67.90,"45,842","45,725","45,958"
PR,2020-09-08,"4,252","4,251","4,253",50.59,50.59,50.59,"8,405","8,405","8,405"
RI,2020-09-08,"1,622","1,535","1,709",93.27,93.27,93.27,"1,739","1,739","1,739"
ND,2020-09-09,"1,348","1,345","1,351",65.56,64.71,66.42,"2,056","2,046","2,066"
NY,2020-09-09,"36,691","36,584","36,797",70.81,69.66,71.96,"45,930","45,657","46,203"
PR,2020-09-09,"4,297","4,297","4,297",49.68,49.68,49.68,"8,650","8,650","8,650"
RI,2020-09-09,"1,676","1,639","1,714",97.24,90.00,104.49,"1,724","1,674","1,774"
ND,2020-09-10,"1,312","1,306","1,319",63.41,62.02,64.79,"2,070","2,055","2,085"
NY,2020-09-10,"37,160","37,050","37,271",71.96,70.89,73.03,"45,824","45,579","46,069"
PR,2020-09-10,"4,523","4,523","4,523",51.60,51.60,51.60,"8,765","8,765","8,765"
RI,2020-09-10,"1,713","1,713","1,713",96.51,96.51,96.51,"1,775","1,775","1,775"
ND,2020-09-11,"1,356","1,340","1,373",60.86,58.49,63.22,"2,229","2,209","2,249"
NY,2020-09-11,"37,291","37,148","37,434",71.95,71.12,72.78,"45,819","45,671","45,967"
PR,2020-09-11,"4,579","4,579","4,579",52.11,52.11,52.11,"8,788","8,788","8,788"
RI,2020-09-11,"1,742","1,742","1,742",98.42,98.42,98.42,"1,770","1,770","1,770"
ND,2020-09-12,"1,302","1,283","1,321",63.30,60.07,66.54,"2,057","2,028","2,086"
NY,2020-09-12,"35,769","35,427","36,111",68.99,66.51,71.48,"45,961","45,487","46,435"
PR,2020-09-12,"4,552","4,518","4,585",51.68,49.90,53.46,"8,807","8,719","8,895"
RI,2020-09-12,"1,668","1,668","1,668",94.02,94.02,94.02,"1,774","1,774","1,774"
ND,2020-09-13,"1,272","1,246","1,299",61.85,57.85,65.86,"2,057","2,026","2,088"
NY,2020-09-13,"34,864","34,095","35,632",67.69,62.25,73.13,"45,873","44,875","46,871"
PR,2020-09-13,"4,387","4,366","4,408",50.96,49.59,52.32,"8,609","8,538","8,680"
RI,2020-09-13,"1,626","1,626","1,626",92.60,92.60,92.60,"1,756","1,756","1,756"
ND,2020-09-14,"1,295","1,295","1,295",63.05,62.92,63.17,"2,054","2,052","2,056"
NY,2020-09-14,"35,551","35,388","35,713",69.36,68.03,70.69,"45,785","45,506","46,064"
PR,2020-09-14,"4,263","4,263","4,263",49.10,49.10,49.10,"8,682","8,682","8,682"
RI,2020-09-14,"1,623","1,623","1,623",94.47,94.47,94.47,"1,718","1,718","1,718"
ND,2020-09-15,"1,382","1,378","1,385",67.23,66.34,68.11,"2,055","2,045","2,065"
NY,2020-09-15,"37,082","36,938","37,225",72.78,71.56,74.00,"45,387","45,131","45,643"
PR,2020-09-15,"4,335","4,335","4,335",49.41,49.41,49.41,"8,773","8,773","8,773"
RI,2020-09-15,"1,709","1,709","1,709",96.01,96.01,96.01,"1,780","1,780","1,780"
ND,2020-09-16,"1,408","1,319","1,497",67.86,52.67,83.04,"2,075","1,936","2,214"
NY,2020-09-16,"37,339","37,206","37,472",73.75,72.50,74.99,"45,153","44,881","45,425"
PR,2020-09-16,"4,476","4,476","4,476",50.96,50.96,50.96,"8,783","8,783","8,783"
RI,2020-09-16,"1,698","1,698","1,698",96.86,96.86,96.86,"1,753","1,753","1,753"
ND,2020-09-17,"1,430","1,429","1,431",68.62,68.62,68.62,"2,084","2,084","2,084"
NY,2020-09-17,"37,323","36,972","37,673",72.32,69.66,74.97,"45,920","45,396","46,443"
PR,2020-09-17,"4,727","4,727","4,727",53.38,53.38,53.38,"8,856","8,856","8,856"
RI,2020-09-17,"1,733","1,733","1,733",87.79,87.79,87.79,"1,974","1,974","1,974"
ND,2020-09-18,"1,442","1,426","1,458",69.56,67.17,71.95,"2,073","2,055","2,091"
NY,2020-09-18,"37,166","36,813","37,519",72.31,69.79,74.83,"45,754","45,289","46,219"
PR,2020-09-18,"4,745","4,745","4,745",53.93,53.93,53.93,"8,798","8,798","8,798"
RI,2020-09-18,"1,726","1,726","1,726",86.91,86.91,86.91,"1,986","1,986","1,986"
ND,2020-09-19,"1,414","1,389","1,438",68.05,63.42,72.69,"2,077","2,031","2,123"
NY,2020-09-19,"35,790","35,048","36,532",69.60,63.34,75.86,"45,256","43,923","46,589"
PR,2020-09-19,"4,777","4,776","4,778",53.63,53.61,53.66,"8,907","8,907","8,907"
RI,2020-09-19,"1,700","1,700","1,700",87.58,87.58,87.58,"1,941","1,941","1,941"
ND,2020-09-20,"1,461","1,437","1,485",64.28,59.81,68.74,"2,273","2,222","2,324"
NY,2020-09-20,"34,784","33,934","35,634",68.34,61.08,75.60,"44,848","43,309","46,387"
PR,2020-09-20,"4,469","4,469","4,469",51.13,51.13,51.13,"8,740","8,740","8,740"
RI,2020-09-20,"1,680","1,680","1,680",88.10,88.10,88.10,"1,907","1,907","1,907"
NH,2020-08-20,"1,902","1,902","1,902",64.98,64.98,64.98,"2,927","2,927","2,927"
OR,2020-08-20,"3,952","3,452","4,452",74.68,51.58,97.78,"4,838","4,093","5,583"
NH,2020-08-21,"1,899","1,899","1,899",64.86,64.86,64.86,"2,928","2,928","2,928"
OR,2020-08-21,"4,559","4,026","5,092",72.61,44.75,100.47,"5,812","5,035","6,589"
NH,2020-08-22,"1,834","1,784","1,883",62.62,55.53,69.71,"2,928","2,823","3,033"
OR,2020-08-22,"4,387","3,906","4,868",69.94,44.76,95.11,"5,788","5,067","6,509"
NH,2020-08-23,"1,756","1,749","1,762",59.96,59.04,60.88,"2,928","2,914","2,942"
OR,2020-08-23,"4,323","3,859","4,788",68.94,44.77,93.10,"5,780","5,084","6,476"
NH,2020-08-24,"1,748","1,748","1,748",59.68,59.68,59.68,"2,929","2,929","2,929"
OR,2020-08-24,"4,303","3,894","4,712",68.98,47.89,90.06,"5,747","5,120","6,374"
NH,2020-08-25,"1,865","1,865","1,865",63.67,63.67,63.67,"2,929","2,929","2,929"
OR,2020-08-25,"4,437","4,119","4,755",70.86,55.64,86.09,"5,783","5,281","6,285"
NH,2020-08-26,"1,880","1,873","1,886",64.26,63.32,65.19,"2,925","2,911","2,939"
OR,2020-08-26,"4,528","4,198","4,857",71.55,50.02,93.08,"5,848","5,183","6,513"
NH,2020-08-27,"1,878","1,878","1,878",64.16,64.16,64.16,"2,927","2,927","2,927"
OR,2020-08-27,"4,636","4,435","4,837",72.62,55.64,89.59,"5,886","5,284","6,487"
NH,2020-08-28,"1,852","1,852","1,852",63.29,63.29,63.29,"2,926","2,926","2,926"
OR,2020-08-28,"4,657","4,651","4,663",73.86,58.85,88.87,"6,280","5,732","6,829"
NH,2020-08-29,"1,793","1,793","1,793",61.70,61.70,61.70,"2,906","2,906","2,906"
OR,2020-08-29,"4,418","4,306","4,529",69.89,54.12,85.66,"6,303","5,730","6,876"
NH,2020-08-30,"1,689","1,689","1,689",57.96,57.96,57.96,"2,914","2,914","2,914"
OR,2020-08-30,"4,367","4,239","4,495",68.20,51.93,84.46,"6,383","5,783","6,983"
NH,2020-08-31,"1,726","1,726","1,726",58.95,58.95,58.95,"2,928","2,928","2,928"
OR,2020-08-31,"4,281","4,076","4,487",69.15,52.02,86.29,"6,176","5,614","6,739"
NH,2020-09-01,"1,857","1,788","1,926",63.47,55.13,71.80,"2,926","2,819","3,033"
OR,2020-09-01,"4,449","4,445","4,453",68.37,54.86,81.87,"6,502","5,971","7,033"
NH,2020-09-02,"1,886","1,886","1,886",64.52,64.52,64.52,"2,923","2,923","2,923"
OR,2020-09-02,"4,581","4,540","4,622",69.93,57.27,82.59,"6,542","6,050","7,034"
NH,2020-09-03,"1,881","1,881","1,881",65.22,65.22,65.22,"2,884","2,884","2,884"
OR,2020-09-03,"4,516","4,471","4,562",68.44,57.73,79.15,"6,576","6,155","6,996"
NH,2020-09-04,"1,880","1,880","1,880",64.96,64.96,64.96,"2,894","2,894","2,894"
OR,2020-09-04,"4,606","4,597","4,615",69.41,68.93,69.89,"6,616","6,602","6,630"
NH,2020-09-05,"1,805","1,805","1,805",62.37,62.37,62.37,"2,894","2,894","2,894"
OR,2020-09-05,"4,422","4,312","4,532",66.85,61.56,72.14,"6,597","6,461","6,733"
NH,2020-09-06,"1,732","1,726","1,737",59.83,58.92,60.74,"2,894","2,880","2,908"
OR,2020-09-06,"4,263","4,024","4,502",68.33,55.45,81.22,"6,218","5,882","6,554"
NH,2020-09-07,"1,732","1,732","1,732",59.85,59.85,59.85,"2,894","2,894","2,894"
OR,2020-09-07,"4,164","4,054","4,273",62.48,51.24,73.73,"6,633","6,195","7,071"
NH,2020-09-08,"1,733","1,733","1,733",59.88,59.88,59.88,"2,894","2,894","2,894"
OR,2020-09-08,"4,231","4,002","4,460",59.70,45.68,73.73,"7,060","6,547","7,574"
NH,2020-09-09,"1,850","1,850","1,850",63.36,63.36,63.36,"2,920","2,920","2,920"
OR,2020-09-09,"4,425","4,374","4,476",59.20,56.93,61.48,"7,457","7,388","7,526"
NH,2020-09-10,"1,858","1,858","1,858",63.63,63.63,63.63,"2,920","2,920","2,920"
OR,2020-09-10,"4,571","4,556","4,586",72.22,71.58,72.86,"6,314","6,303","6,325"
NH,2020-09-11,"1,867","1,867","1,867",63.94,63.94,63.94,"2,920","2,920","2,920"
OR,2020-09-11,"4,507","4,490","4,524",71.52,70.61,72.43,"6,284","6,260","6,308"
NH,2020-09-12,"1,815","1,815","1,815",62.16,62.16,62.16,"2,920","2,920","2,920"
OR,2020-09-12,"4,451","4,401","4,501",71.84,68.68,75.00,"6,172","6,080","6,263"
NH,2020-09-13,"1,783","1,783","1,783",61.06,61.06,61.06,"2,920","2,920","2,920"
OR,2020-09-13,"4,321","4,252","4,390",70.68,67.12,74.24,"6,094","6,010","6,178"
NH,2020-09-14,"1,788","1,788","1,788",61.23,61.23,61.23,"2,920","2,920","2,920"
OR,2020-09-14,"4,358","4,151","4,566",70.59,55.62,85.57,"6,150","5,687","6,613"
NH,2020-09-15,"1,947","1,947","1,947",66.68,66.68,66.68,"2,920","2,920","2,920"
OR,2020-09-15,"4,538","4,477","4,599",72.29,68.68,75.90,"6,247","6,144","6,350"
NH,2020-09-16,"1,923","1,923","1,923",65.86,65.86,65.86,"2,920","2,920","2,920"
OR,2020-09-16,"4,648","4,648","4,648",73.37,73.37,73.37,"6,308","6,308","6,308"
NH,2020-09-17,"1,921","1,921","1,921",65.79,65.79,65.79,"2,920","2,920","2,920"
OR,2020-09-17,"4,621","4,591","4,651",73.04,71.67,74.40,"6,305","6,275","6,335"
NH,2020-09-18,"1,892","1,892","1,892",64.79,64.79,64.79,"2,920","2,920","2,920"
OR,2020-09-18,"4,593","4,549","4,637",73.25,71.04,75.47,"6,247","6,193","6,301"
NH,2020-09-19,"1,843","1,835","1,851",63.12,62.15,64.08,"2,920","2,907","2,933"
OR,2020-09-19,"4,494","4,384","4,604",71.97,66.34,77.61,"6,225","6,086","6,364"
NH,2020-09-20,"1,786","1,762","1,810",61.16,58.11,64.22,"2,920","2,878","2,962"
OR,2020-09-20,"4,391","4,152","4,630",71.05,58.02,84.09,"6,163","5,826","6,500"
MO,2020-08-20,"10,232","9,982","10,482",59.55,59.04,60.06,"17,085","16,785","17,385"
NE,2020-08-20,"3,160","3,072","3,248",61.96,56.21,67.71,"5,092","4,970","5,214"
NM,2020-08-20,"1,719","1,599","1,839",61.13,59.80,62.46,"2,836","2,666","3,006"
SD,2020-08-20,"1,192","1,171","1,213",59.95,56.70,63.20,"1,980","1,950","2,010"
TX,2020-08-20,"47,359","46,679","48,039",77.81,75.31,80.31,"60,801","60,296","61,306"
VT,2020-08-20,329,-71,729,60.15,43.56,76.73,547,49,"1,045"
MO,2020-08-21,"10,079","9,805","10,353",58.67,56.58,60.76,"17,065","16,742","17,388"
NE,2020-08-21,"3,146","3,058","3,233",61.57,55.89,67.24,"5,101","4,981","5,221"
NM,2020-08-21,"1,679","1,525","1,833",59.22,50.19,68.25,"2,835","2,667","3,003"
SD,2020-08-21,"1,244","1,221","1,267",62.28,58.68,65.88,"1,990","1,958","2,023"
TX,2020-08-21,"45,868","43,862","47,873",76.18,65.94,86.42,"60,150","57,741","62,560"
